PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2651.00,MQ,Envoy Air,SHV,DFW,673,1
2651.00,YX,Republic Airline,PHL,PIT,673,1
2652.00,DL,Delta Air Lines Inc.,SLC,IAD,888,1
2652.00,UA,United Air Lines Inc.,DEN,MSO,694,1
2652.00,UA,United Air Lines Inc.,TPA,IAH,694,1
2652.00,WN,Southwest Airlines Co.,TUS,DEN,614,1
2652.00,ZW,Air Wisconsin Airlines Corp,CAK,ORD,629,1
2653.00,WN,Southwest Airlines Co.,MCO,MHT,612,1
2653.00,YX,Republic Airline,PHL,BNA,673,1
2654.00,AA,American Airlines Inc.,ORD,DCA,614,1
2654.00,OO,SkyWest Airlines Inc.,PSP,SFO,629,1
2654.00,UA,United Air Lines Inc.,ORD,SMF,694,1
2656.00,OO,SkyWest Airlines Inc.,OAK,LAX,673,1
2656.00,WN,Southwest Airlines Co.,BZN,DEN,614,1
2657.00,AA,American Airlines Inc.,FLL,JFK,614,1
2657.00,WN,Southwest Airlines Co.,BWI,DEN,612,1
2658.00,AS,Alaska Airlines Inc.,BOI,SEA,614,1
2659.00,WN,Southwest Airlines Co.,ISP,MCO,612,1
